MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Hp,16go,ddr4,intel,i5,6,,,,hdd,,gris,1.28,,"2,290.00 Dhs",0 out of 5
Lenovo,4go,ddr4,amd,,3,,,,,1000.0,gris,,14pouce,"2,200.00 Dhs",3 out of 5
DELL,8go,ddr4,intel,i5,5,:intelhd620.,,256.0,ssd,,noir,2,"5""","2,999.00 Dhs",0 out of 5
Hp,8go,,intel,i5,7,,,256.0,ssd,,argent,2,"14""","3,500.00 Dhs",0 out of 5
Hp,,,,,,,,,,,,2,"0""","2,600.00 Dhs",0 out of 5
Lenovo,4,ddr4,intel,i5,5,:intelhdgraphics5500,,,ssd,128.0,noir,1,8cm,"1,999.00 Dhs",0 out of 5
Lenovo,4,ddr4,intel,i5,4,:intelhdgraphics5500,,,hdd,250.0,noir,1.42,8cm,"1,799.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,:intelhdgraphics520,,256.0,ssd,,argent,1.281,,"2,350.00 Dhs",0 out of 5
Lenovo,16gb,ddr4,intel,i5,5,:intel®iris®xegraphics,,256.0,ssd,,noir,1.754,,"11,450.00 Dhs",0 out of 5
Hp,16,ddr4,intel,i7,10,2:nvidiaquadrot1000max-qdesign(4go),,512.0,ssd,,gris,1.75,,"14,299.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,6,.intelhdgraphics520,,256.0,ssd,,argentnoir,1.6,,"2,600.00 Dhs",3 out of 5
Lenovo,8go,ddr3,intel,i5,6,:intel®hdgraphics,,,,,noir,2.5,,"2,575.00 Dhs",3.6 out of 5
Hp,4go,ddr3,,i3,,:radeonr2,,,hdd,5400000.0,gris,2.5,6pouce,"1,999.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,5,:intelhdgraphics,,256.0,ssd,,noir,1.6,"14""","2,299.00 Dhs",0 out of 5
Hp,1,ddr4,intel,i5,6,.intelhdgraphics520,,256.0,ssd,,,2,,"2,690.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i7,6,,,256.0,ssd,,argentetnoir,1.3,5pouce,"3,490.00 Dhs",0 out of 5
Hp,8go,ddr4,amd,,5,intégré:amdradeon™graphics,,,ssd,,gris,2,"6""","5,900.00 Dhs",0 out of 5
Hp,8,ddr4,intel,i7,7,:amdradeonprowx3100,,,ssd,,,,,"20,000.00 Dhs",0 out of 5
Lenovo,4go,,intel,i3,,inteluhdgraphics,,,,1000.0,noir,2,,"3,290.00 Dhs",3 out of 5
DELL,8go,,,i5,5,,,,,256.0,noir,3.47,,"2,990.00 Dhs",5 out of 5
Lenovo,16go,ddr3,intel,i5,5,,,,hdd,,noir,2,"14""","2,299.00 Dhs",0 out of 5
DELL,16,ddr4,,i5,5,nomdela:intelhdgraphics520,,,ssd,,noir,2,,"2,850.00 Dhs",3 out of 5
Hp,16go,ddr4,,i5,6,:inteluhd520,,256.0,ssd,,argentetnoir,1.48,,"2,990.00 Dhs",4 out of 5
Lenovo,4,ddr4,intel,i5,6,:intelhdgraphics5500,,,,500.0,noir,1.42,8cm,"2,240.00 Dhs",3 out of 5
Hp,8go,ddr4,intel,i7,6,,,256.0,ssd,,grismétallisé,1.88,,"2,899.00 Dhs",3 out of 5
Asus,8go,ddr4,intel,i5,8,,,,hdd,,gold,12,"6""","4,599.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6,:intelhd520,,,,,noir,1.95,,"3,100.00 Dhs",5 out of 5
Lenovo,16go,ddr3,intel,i5,5,:intel®hdgraphics5500,,,,,noir,1.63,,"2,250.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,8,:graphiquesuhdintel,,256.0,ssd,,argent,2,,"3,240.00 Dhs",5 out of 5
Lenovo,,,,,,,,,ssd,,abyssblue,2.11,"14""","3,500.00 Dhs",0 out of 5
Hp,8go,ddr4,,,,,,512.0,ssd,,noiretgris,2.3,,"2,299.00 Dhs",0 out of 5
Microsoft,13,ddr4,,,,adreno685,,256.0,ssd,,noir,0.8,13pouce,"7,999.00 Dhs",0 out of 5
Hp,8,ddr4,intel,i5,6,:intel®hd520,,256.0,ssd,,argent,1.67,"14""","2,590.00 Dhs",0 out of 5
Samsung,15,ddr4,intel,i7,11,intel®iris®xe,,512.0,ssd,,argent,1.55,,"12,599.00 Dhs",0 out of 5
Lenovo,2,ddr4,intel,i5,5,,,256.0,ssd,,noir,2,"14""","3,599.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,:intelhdgraphics520,,240.0,ssd,,argentnoir,1.6,,"2,899.00 Dhs",5 out of 5
Hp,3,ddr3,intel,i5,4,,,,,500.0,noir,2,"14""","1,999.00 Dhs",0 out of 5
DELL,16gb,ddr4,intel,i5,11,nvidia®geforce®mx3502g,,,,2256.0,noir,2,"6""","7,500.00 Dhs",0 out of 5
Asus,4gb,ddr4,amd,,3,:amdradeongraphics,1000.0,,hdd,,gris,2,,"2,990.00 Dhs",0 out of 5
DELL,12gb,ddr4,intel,i3,11,,1000.0,,hdd,,noir,1.5,,"5,599.00 Dhs",0 out of 5
Lenovo,8go,ddr3,intel,i5,5,:intel®hdgraphics5500,,,,,noir,1.63,,"2,100.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,:intelhdgraphics520,,256.0,ssd,,argentetnoir,1.6,,"4,000.00 Dhs",0 out of 5
Hp,21,ddr4,intel,i5,7,,,,ssd,256.0,gris,1.4,8cm,"4,299.00 Dhs",0 out of 5
Lenovo,4,ddr4,intel,i5,6,:intelhdgraphics5500,,,ssd,,noir,1.42,8cm,"2,350.00 Dhs",0 out of 5
Lenovo,16gb,,intel,i5,11,:intel®iris®xegraphics,,256.0,ssd,,noir,1.19,,"11,665.00 Dhs",0 out of 5
DELL,16gb,ddr4,intel,i5,11,,1000.0,,hdd,,noir,1.78,,"6,599.00 Dhs",1 out of 5
Hb,8go,ddr4,intel,i3,6,:intelhd520,,256.0,ssd,,noir,1.95,,"2,910.00 Dhs",2 out of 5
DELL,8gb,ddr4,intel,i3,11,,1000.0,,hdd,,noir,1.78,,"5,399.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i5,11,,,,,,grismétallisé,delabatterie:204g,6cm,"8,899.00 Dhs",0 out of 5
Lenovo,16go,ddr4,intel,i5,6,:intel®hdgraphics520,,256.0,ssd,,noir,1.5,"14""","2,490.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i7,6,:intelhdgraphics520,,256.0,ssd,,argent,,"5""","3,000.00 Dhs",1 out of 5
Hp,8go,ddr4,intel,i5,10,,,250.0,ssd,,silver,1.74,"6""","6,290.00 Dhs",0 out of 5
DELL,8gb,ddr4,intel,i3,11,,1000.0,,hdd,,noir,1.5,,"5,699.00 Dhs",1 out of 5
Hp,57,ddr4,intel,i5,7,,,512.0,ssd,,argent,1.5,,"5,900.00 Dhs",4 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,gris,1.28,,"2,490.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,gris,1.28,,"2,799.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,:inteluhdgraphics520,,256.0,ssd,,,1,14pouce,"2,799.00 Dhs",5 out of 5
Lenovo,16go,ddr3,intel,i5,5,,,,hdd,,noir,2,"14""","2,299.00 Dhs",0 out of 5
Asus,4gb,,,,,:intel®hd520,,,,,,2.79,"6""","7,190.00 Dhs",0 out of 5
Lenovo,4,ddr4,intel,i5,4,:intelhdgraphics5500,,,ssd,128.0,noir,1.42,8cm,"1,999.00 Dhs",4 out of 5
DELL,16go,ddr4,intel,i7,7,:inteluhdgraphics620,,256.0,ssd,,noir,1.2,14pouce,"3,500.00 Dhs",0 out of 5
DELL,8go,ddr4,intel,i5,8,,,,ssd,,noir,1,"6""","5,299.00 Dhs",0 out of 5
Hp,8go,ddr4,,,,,,256.0,ssd,,noirgris,2.3,,"2,099.00 Dhs",4.5 out of 5
DELL,8go,ddr4,,,,intelirisxeintégrée,,,,,argent,1.4,"14""","6,800.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,:intelhdgraphics.,,,ssd,,argentnoir,2,"14""","2,750.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i7,6,,,256.0,ssd,,noiretargent,1.6,,"3,625.00 Dhs",0 out of 5
Hp,21,ddr4,intel,i5,7,,,,ssd,256.0,gris,1.6,8cm,"4,499.00 Dhs",0 out of 5
Hp,4gb,,,,,:intel®uhd,,,,,,4,"6""","4,700.00 Dhs",0 out of 5
DELL,8go,ddr4,intel,i5,,:inteluhdgraphics620,,256.0,ssd,,noir,1.35,14pouce,"4,399.00 Dhs",0 out of 5
Hp,41,ddr4,intel,i7,7,,,512.0,ssd,,noir,1.5,,"3,500.00 Dhs",5 out of 5
DELL,8,ddr4,intel,i5,11,:intel®iris®xe,,256.0,ssd,,noir,1,,"7,500.00 Dhs",0 out of 5
Msi,16go,,intel,i7,13,,,,ssd,,blacknoir,1.182,"4""","14,199.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,,1.48,14pouce,"2,690.00 Dhs",5 out of 5
Hp,8go,ddr4,intel,i5,7,,,256.0,ssd,7200000.0,noir,1.5,6cm,"6,599.00 Dhs",0 out of 5
Acer,2go,ddr3,intel,,3,,,,,32.0,blanc,1,"6""","2,999.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i7,6,,,480.0,ssd,,noir,1.52,,"3,600.00 Dhs",0 out of 5
DELL,16go,ddr3,intel,i5,6,nombred'affichagesprisenchargeparlaintégrée:3,,256.0,ssd,7200000.0,noir,1.81,6cm,"3,289.00 Dhs",4 out of 5
Lenovo,16,ddr4,intel,i5,11,intelirisxe,,256.0,ssd,,gris,1.4,"14""","5,450.00 Dhs",0 out of 5
DELL,8go,,,i5,,,,,,256.0,noir,1.5,,"2,790.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,6,,,256.0,ssd,,noiretargent,1.6,,"2,735.00 Dhs",3 out of 5
Hp,4go,ddr4,intel,i3,6,:intelhd520,,,,,noirargenté,2,,"1,999.00 Dhs",0 out of 5
Lenovo,12gb,ddr4,intel,i5,10,,,,hdd,,noir,2.8,"6""","6,999.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,8,,,840.0,ssd,,gris,2.1,"14""","3,999.00 Dhs",0 out of 5
Asus,4gb,ddr4,intel,,4,intel®uhd600,,,ssd,,noir,1.64,"6""","2,189.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,8,:inteluhdgraphics620,,256.0,ssd,,,2,3pouce,"3,200.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,argentnoir,1.95,,"2,999.00 Dhs",0 out of 5
Hp,21,ddr4,intel,i5,7,fréquencedynamique(max)deintégrée:1150mhz,,256.0,ssd,256.0,gris,1.4,8cm,"4,990.00 Dhs",3 out of 5
Asus,4gb,ddr4,,,,:intel®uhdgraphics600,,,,,noir,1,"6""","2,199.00 Dhs",0 out of 5
Hp,4gb,,,,,:intel®uhd,,,,,,4,"6""","4,795.00 Dhs",4 out of 5
Hp,32go,ddr4,intel,i5,8,intégrée:oui,,256.0,ssd,256.0,gris,1.5,"3""","3,490.00 Dhs",0 out of 5
Hp,4gb,,,,,:intel®uhd,1000.0,,hdd,,noir,3,"6""","3,645.00 Dhs",0 out of 5
Hp,1,,,i5,5,‎intelhdgraphics5500,,256.0,ssd,,noir,1.5,14pouce,"3,899.00 Dhs",5 out of 5
DELL,8,,intel,i5,6,,,128.0,ssd,,noir,1.26,"5""","3,999.00 Dhs",5 out of 5
Hp,8go,ddr3,intel,i5,5,:intelhdgraphics5500,,,,1000.0,,2,"14""","3,900.00 Dhs",4.5 out of 5
Acer,8go,,intel,i7,12,,,512.0,ssd,,noir,1.6,,"8,499.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,5,:intelhdgraphics5500,,32.0,ssd,,noir,1.5,"14""","2,199.00 Dhs",3.6 out of 5
Hp,8,ddr3,intel,i5,4,,,,,500.0,noir,,"14""","1,999.00 Dhs",3 out of 5
Hp,16go,ddr4,intel,i7,6,:intelhdgraphics520,,256.0,ssd,,grismétallisé,1.26,"5""","3,399.00 Dhs",3.5 out of 5
Fujitsu,8go,ddr4,,i5,8,:inteluhdgraphics620,,,ssd,,,1.49,,"2,790.00 Dhs",0 out of 5
Hp,4,ddr4,intel,i5,6,:inteluhdgraphics520,,256.0,ssd,8.0,grisnoir,1,14pouce,"2,699.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i3,10,,,,,500.0,noir,3,,"4,650.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,:intelhdgraphics520,,256.0,ssd,,argentetnoir,1.6,,"4,000.00 Dhs",1 out of 5
DELL,8gb,ddr4,intel,i3,11,:inteluhdgraphics,,256.0,ssd,,noir,2.5,,"3,999.00 Dhs",0 out of 5
DELL,16,ddr4,,i5,5,nomdela:intelhdgraphics520,,,,,noir,1.5,,"3,950.00 Dhs",0 out of 5
Latitude,8gb,ddr4,intel,i5,6,,,256.0,ssd,,noir,1.25,,"2,700.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,6,,,,,500.0,,2,"14""","2,550.00 Dhs",0 out of 5
Hp,1,ddr4,intel,i5,6,.intelhdgraphics520,,256.0,ssd,,gris,2,,"2,700.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,5,:intelhdgraphics,,32.0,ssd,500.0,noir,1.5,"14""","2,199.00 Dhs",4 out of 5
Hp,16go,ddr4,intel,i7,6,,,256.0,ssd,,argentetnoir,1.3,5pouce,"2,990.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i7,6,:intel®hdgraphics520,,256.0,ssd,,gris,":1,48kg",,"3,990.00 Dhs",0 out of 5
DELL,4gb,ddr4,intel,i3,11,":intelhdgraphicsavecwifi,bluetooth",,,hdd,1000.0,noir,":1,78kg.",,"6,500.00 Dhs",1 out of 5
DELL,8gb,ddr4,intel,i5,6,,,128.0,ssd,,noir,1.25,,"2,700.00 Dhs",3 out of 5
Lenovo,42,,intel,,21,,,512.0,ssd,,noir,"3,4",3pouce,"16,000.00 Dhs",0 out of 5
Hp,1,ddr4,intel,i5,6,nombred'affichagesprisenchargeparlaintégrée:3,,,,7200000.0,noir,1.5,6cm,"2,543.00 Dhs",0 out of 5
Hp,16go,,intel,i5,6,résolutionmaximum(hdmi)deintégrée:4096x2304pixels,,512.0,ssd,,noir,1.5,6cm,"3,150.00 Dhs",4.7 out of 5
Hp,16go,,intel,i5,12,,,512.0,ssd,,argent,2,"14""","7,785.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i7,8,:inteluhdgraphics,,512.0,ssd,,gris,2,14pouce,"5,999.00 Dhs",0 out of 5
Acer,,,intel,,5,,,128.0,ssd,,noir,1.2,5cm,"3,000.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,6,,,256.0,ssd,7200000.0,noir,1.5,6cm,"2,899.00 Dhs",5 out of 5
Hp,4,ddr4,intel,i5,8,,,,ssd,256.0,argent,2,8cm,"4,799.00 Dhs",0 out of 5
Lenovo,16go,,,,,intelirisxe,,256.0,ssd,,gris,1.13,"3""","8,999.00 Dhs",0 out of 5
Kingston,,,,,,,,,hdd,240.0,noir,41g,5pouce,289.00 Dhs,4 out of 5
Hp,16go,ddr4,intel,i5,8,,,256.0,ssd,,silver,2,"3""","4,199.00 Dhs",0 out of 5
Lenovo,50,ddr3,intel,i5,5,,,,,,noir,1.5,"14""","2,100.00 Dhs",0 out of 5
Hp,4go,,intel,i3,4,,,128.0,ssd,,,2,"14""","2,440.00 Dhs",3.7 out of 5
Asus,4gb,ddr4,intel,,4,intel®uhd600,,,,,noir,1.05,"6""","2,190.00 Dhs",0 out of 5
Lenovo,12gb,ddr4,intel,i5,10,,,,ssd,,gris,3.6,"14""","7,249.00 Dhs",0 out of 5
Hp,1,ddr4,intel,i5,6,nombred'affichagesprisenchargeparlaintégrée:3,,,,7200000.0,noir,1.5,6cm,"2,543.00 Dhs",1 out of 5
Hp,16go,,intel,i5,4,,,256.0,ssd,,noir,1.58,,"3,250.00 Dhs",5 out of 5
Hp,8go,ddr3,intel,i5,5,,,128.0,ssd,,noir,1.52,,"2,999.00 Dhs",0 out of 5
Asus,4gb,ddr4,intel,,4,intel®uhd600,,,,,noir,1.05,"6""","2,299.00 Dhs",0 out of 5
Hp,4,ddr4,intel,i5,7,,,512.0,ssd,,argent,1.6,,"6,999.00 Dhs",0 out of 5
Infinix,8go,,intel,i5,,,,512.0,ssd,,gris,1,14pouce,"6,400.00 Dhs",4 out of 5
DELL,16gb,ddr4,intel,i5,13,:inteluhdgraphics.,,512.0,ssd,,gris,1.39,cm,"12,932.00 Dhs",0 out of 5
Hp,4gb,ddr4,,,,,,,,,,3,"6""","7,989.00 Dhs",0 out of 5
DELL,12gb,ddr4,,,,:intel®hd,,,,256.0,noir,2.5,,"5,999.00 Dhs",0 out of 5
Asus,4go,ddr3,intel,,3,intégré:intel®hdgraphics520,1000.0,,hdd,,grey,2.4,6pouce,"5,499.00 Dhs",0 out of 5
Hp,4,ddr4,intel,i5,10,,,,hdd,500.0,noir,2.4,15pouce,"6,220.00 Dhs",0 out of 5
Asus,4go,,intel,,4,,,,,1000.0,gris,,6pouce,"2,399.00 Dhs",3 out of 5
Hp,12go,ddr4,intel,i5,10,intégré:intel®uhd,1000.0,,hdd,,argentcendréfoncé,1.74,"6""","6,999.00 Dhs",0 out of 5
DELL,16go,,,i5,,,,,,256.0,noir,1.5,,"3,080.00 Dhs",1 out of 5
Hp,4,ddr4,intel,i5,10,,1000.0,,hdd,,noir,1.78,15pouce,"6,599.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i5,10,intégré:intel®uhd,1000.0,,hdd,,argentcendréfoncé,1.74,"6""","5,970.00 Dhs",0 out of 5
Hp,16,ddr4,intel,i5,6,:intel®hd520,,512.0,ssd,,argent,1.6,"14""","3,390.00 Dhs",0 out of 5
DELL,8go,ddr4,intel,i5,12,,,,ssd,,argent,1.24,"6""","8,499.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,4,,,256.0,ssd,,argentnoir,2,"14""","2,550.00 Dhs",3 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,gris,1.28,,"2,390.00 Dhs",0 out of 5
Lenovo,8go,ddr3,intel,i5,5,:intel®hdgraphics5500,,,,,noir,1.63,,"2,300.00 Dhs",0 out of 5
Hp,4gb,,,,,:intel®uhd,,,,,noir,4,"6""","4,635.00 Dhs",0 out of 5
Lenovo,8go,ddr4,intel,i5,6,:intel®hdgraphics520,,256.0,ssd,,noir,1.5,"14""","2,440.00 Dhs",2 out of 5
Hp,4go,ddr4,,,,:intégré,,2256.0,hdd,,noir,,,"6,350.00 Dhs",0 out of 5
Hp,8go,,,i5,6,,,256.0,ssd,,argent,0.162,"14""","3,299.00 Dhs",0 out of 5
Lenovo,2,ddr4,intel,i5,5,,,256.0,ssd,,noir,1,"6""","2,799.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,argentnoir,1.95,,"2,899.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,6,,,,,500.0,,2,"14""","2,500.00 Dhs",0 out of 5
DELL,16gb,ddr4,intel,i5,12,:intelirisxegraphics,,256.0,ssd,,argent,1.32,,"13,810.00 Dhs",0 out of 5
Lenovo,16go,ddr3,intel,i5,5,,,,hdd,,noir,2,"14""","2,499.00 Dhs",0 out of 5
Medion,2,,intel,,4,:graphiquesintégrés,,256.0,ssd,,argent,1.8,,"2,800.00 Dhs",0 out of 5
DELL,8go,,,i5,,,,,,256.0,noir,2,,"2,650.00 Dhs",0 out of 5
Hp,4go,ddr4,amd,,5,,1000.0,,hdd,,noir,3,"6""","4,990.00 Dhs",0 out of 5
Lenovo,16go,ddr3,intel,i5,5,,,,hdd,,noir,2,"14""","2,239.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i5,10,,1000.0,,hdd,,noir,2,"6""","5,290.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,,1.28,,"2,399.00 Dhs",5 out of 5
Hp,32gb,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,1.5,,"4,799.00 Dhs",0 out of 5
Hp,48gb,ddr4,intel,i5,5,,,256.0,ssd,,gris,1.5,,"2,300.00 Dhs",0 out of 5
Lenovo,8go,ddr3,intel,i5,5,,,160.0,ssd,,noir,1.5,"14""","2,300.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,6,:intel®hdgraphics520,,256.0,ssd,,argent,1,,"3,850.00 Dhs",0 out of 5
Hp,43,ddr4,intel,i7,7,,,1000.0,ssd,,gris,1.5,,"4,200.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,5,:intelhdgraphics5500,,32.0,ssd,256.0,noir,1.5,"14""","3,899.00 Dhs",0 out of 5
Hp,16go,ddr3,intel,i7,4,,,,hdd,,noir,1.6,"14""","4,199.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i5,10,intégré:intel®uhd,1000.0,,hdd,,noirargentfoncé,1.74,"6""","5,940.00 Dhs",0 out of 5
Lenovo,8go,ddr3,intel,i5,6,:intel®hdgraphics,,,,,noir,2.5,,"2,499.00 Dhs",0 out of 5
DELL,16gb,ddr4,intel,i7,12,:intelirisxegraphics,,512.0,ssd,,argent,1.59,,"15,730.00 Dhs",5 out of 5
DELL,,,,,,,,,,,noir,0.25,,399.00 Dhs,3 out of 5
Hp,3,ddr3,intel,i5,5,:intelhdgraphics,,32.0,ssd,,noir,1.5,"14""","2,995.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,8,,,256.0,ssd,,gris,2,"3""","3,999.00 Dhs",0 out of 5
DELL,8gb,ddr4,intel,i5,6,,,256.0,ssd,,noir,1.25,,"7,500.00 Dhs",3.3 out of 5
Hp,4go,,,,,:intel®iris®xᵉ,,256.0,ssd,,gris,2,6pouce,"4,500.00 Dhs",4 out of 5
DELL,8gb,ddr4,intel,i5,6,,,256.0,ssd,,noir,1.25,,"6,500.00 Dhs",2.5 out of 5
Hp,4go,ddr4,intel,i3,6,:intelhd520,,,,,noirargenté,2,,"2,250.00 Dhs",0 out of 5
DELL,16go,ddr3,intel,i5,6,nombred'affichagesprisenchargeparlaintégrée:3,,256.0,ssd,7200000.0,noir,1.81,6cm,"4,500.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,5,,,,,,noir,1.5,,"3,800.00 Dhs",0 out of 5
Hp,8go,ddr4,,,5,,,,ssd,,grisfonce,,6pouce,"5,500.00 Dhs",0 out of 5
Hp,2,ddr3,intel,i5,6,,,,ssd,,noirgris,1.5,,"3,500.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,gris,1.28,,"2,450.00 Dhs",4 out of 5
Hp,12go,ddr4,intel,i5,10,intégré:intel®uhd,1000.0,,hdd,,noir,1.8,"6""","6,999.00 Dhs",0 out of 5
Hp,4go,ddr4,,,,,,,,,grisfonce,,6pouce,"4,800.00 Dhs",0 out of 5
Hp,4,ddr4,intel,i5,8,,,,ssd,256.0,gris,1.6,,"3,150.00 Dhs",0 out of 5
Hp,3,,,,,,,,ssd,,argent,1.6,"14""","4,500.00 Dhs",1 out of 5
Hp,24,,,,,:radeon4go,,,,,,1.6,5pouce,"4,300.00 Dhs",0 out of 5
Hp,4go,ddr3,intel,i5,4,,,,,,noir,2,0pouce,"1,979.00 Dhs",0 out of 5
Hp,4,ddr4,intel,i5,10,,,,hdd,500.0,noir,2.4,15pouce,"9,699.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6,:intelhd520,,,,,noir,2,,"3,090.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6,:intelhd520,,256.0,ssd,,grisnoir,1.5,,"2,990.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6,:intelhd520,,256.0,ssd,,noir,1.95,,"1,800.00 Dhs",0 out of 5
Kingston,,,,,,,,,hdd,240.0,noirgris,41g,5pouce,385.00 Dhs,4.6 out of 5
Hp,8go,ddr4,intel,i5,6,:inteluhdgraphics520,,256.0,ssd,,,1,14pouce,"3,999.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i5,4,,,,,,noir,2,,"2,799.00 Dhs",3 out of 5
Hp,16go,ddr4,intel,i5,8,:inteluhdgraphics620,,256.0,ssd,,gris,2,3pouce,"4,599.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i3,6,:intelhd520,,,,,,2,,"2,010.00 Dhs",3.8 out of 5
Lenovo,8go,ddr3,intel,i5,6,:intel®hdgraphics,,,,,noir,2.5,,"2,599.00 Dhs",0 out of 5
Hp,12go,ddr4,intel,i5,11,:intel®iris®xᵉintégré,,256.0,ssd,,noir,1.75,,"6,999.00 Dhs",0 out of 5
Hp,8go,,intel,i5,5,,,240.0,ssd,,noir,1.58,,"4,500.00 Dhs",0 out of 5
Hp,1,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,,,"3,190.00 Dhs",0 out of 5
Lenovo,32gb,ddr4,amd,,5,:amdradeon™graphics,,512.0,ssd,,noir,1.28,,"15,730.00 Dhs",0 out of 5
Lenovo,4go,,,i5,,nomdela:intelhdgraphics4400,,,,500.0,noir,1,,"2,100.00 Dhs",0 out of 5
Lenovo,4go,ddr3,intel,i5,4,:intel®hdgraphics,,,,,noir,1.8,,"2,120.00 Dhs",0 out of 5
Lenovo,12,ddr3,intel,i5,4,,,,,,noir,1.8,"14""","2,399.00 Dhs",0 out of 5
Lenovo,8go,ddr3,intel,i5,4,:intel®hdgraphics,,,,,noir,1.8,,"2,300.00 Dhs",4 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,argentnoir,1.95,,"2,899.00 Dhs",0 out of 5
Hp,4,ddr4,intel,i5,6,,,,ssd,128.0,argentclair,":1,26kg",8cm,"2,400.00 Dhs",4 out of 5
Hp,8go,ddr4,intel,i5,6,:intelhdgraphics520,,240.0,ssd,,argentnoir,1.6,,"2,399.00 Dhs",0 out of 5
Hp,1,ddr4,intel,i7,7,nombred'affichagesprisenchargeparlaintégrée:3,,256.0,ssd,7200000.0,noiretargent,1,6cm,"3,299.00 Dhs",4 out of 5
Hp,8go,ddr4,intel,i5,6,,,240.0,ssd,,noirargent,1.95,,"2,490.00 Dhs",0 out of 5
Kingston,,,,,,,,,hdd,240.0,noirgris,41g,5pouce,460.00 Dhs,0 out of 5
Hp,8go,ddr4,intel,i3,6,:intelhd520,1000.0,,hdd,,,1.95,,"2,700.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,gris,1.28,,"2,450.00 Dhs",3 out of 5
Hp,8gb,ddr4,intel,i5,6,.intelhdgraphics520,,256.0,ssd,,noir,,,"2,700.00 Dhs",2.5 out of 5
Hp,1,ddr4,intel,i5,6,nombred'affichagesprisenchargeparlaintégrée:3,,,,7200000.0,noir,1.5,6cm,"2,799.00 Dhs",5 out of 5
Hp,16go,ddr4,intel,i3,6,:intelhd520,,256.0,ssd,,noir,1.95,,"1,999.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6,:intelhd520,,,,,noir,1.95,,"2,450.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i5,10,intégré:intel®uhd,1000.0,,hdd,,argentcendréfoncé,1.74,"6""","5,990.00 Dhs",0 out of 5
