MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
DELL,4go,ddr3,intel,i3,4,:intelhdgraphicsfamily,,,,,noir,2.42,15pouce,"1,550.00 Dhs",0 out of 5
Asus,,,,,,:(modèleetcapacitévarientenfonctiondelaconfiguration),,,ssd,,noir,1.3,,"2,889.00 Dhs",0 out of 5
DELL,4go,ddr3,intel,i3,4,:intelhdgraphicsfamily,,,,,noir,2.42,6pouce,"1,599.00 Dhs",0 out of 5
Lenovo,8go,ddr4,intel,i5,11,,,256.0,ssd,,gris,1,,"5,450.00 Dhs",0 out of 5
Hp,4,ddr4,intel,i5,6,:inteluhdgraphics520,,256.0,ssd,8.0,grisnoir,1,14pouce,"2,999.00 Dhs",0 out of 5
Asus,4gb,ddr4,,,,:intel®uhdgraphics600,,,,,rose,1.3,"0""","4,172.00 Dhs",0 out of 5
Asus,4gb,,,,,,,,,128.0,noir,1.3,"14""","4,172.00 Dhs",0 out of 5
Lenovo,4,ddr4,intel,i5,4,:intelhdgraphics5500,,,ssd,128.0,noir,1.42,8cm,"1,899.00 Dhs",4.5 out of 5
Hp,8go,ddr4,intel,i5,8,:inteluhdgraphics620,,256.0,ssd,,gris,2,"14""","3,299.00 Dhs",2 out of 5
Hp,16gb,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,1.5,,"2,999.00 Dhs",4 out of 5
Lenovo,16go,ddr3,intel,i5,5,:intel®hdgraphics5500,,,,,noir,1.63,,"2,100.00 Dhs",0 out of 5
Lenovo,8go,,intel,,,descriptiondela:intégrée,,512.0,ssd,,noir,1.5,14pouce,"3,500.00 Dhs",0 out of 5
Lenovo,4,ddr4,intel,i5,4,:intelhdgraphics5500,,,ssd,128.0,noir,1.42,8cm,"1,999.00 Dhs",3.5 out of 5
Lenovo,8go,,intel,,,descriptiondela:intégrée,,512.0,ssd,,noir,1.5,14pouce,"3,600.00 Dhs",0 out of 5
Hp,16gb,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,1.5,,"2,899.00 Dhs",0 out of 5
Hp,1,,intel,i5,5,"sortiesdelaprisesencharge:displayport,embeddeddisplayport(edp),hdmi",,256.0,ssd,,noir,0.5,,"2,699.00 Dhs",5 out of 5
Hp,8go,ddr4,intel,i5,7,:intelhdgraphics620,,256.0,ssd,,argentetnoir,1.28,"3""","3,812.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,1.5,,"2,490.00 Dhs",3.4 out of 5
Hp,8gb,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,1.5,,"2,580.00 Dhs",2 out of 5
Lenovo,4,ddr4,intel,i5,5,:intelhdgraphics5500,,,ssd,500.0,noir,1.42,8cm,"2,199.00 Dhs",1 out of 5
,,,,,,,,,,,,,,,
Hp,1,ddr3,intel,i5,5,iddelaintégrée:0x1616,,,hdd,500.0,noir,1.6,8cm,"1,849.00 Dhs",4 out of 5
Lenovo,8go,ddr4,intel,i5,6,:intel®hdgraphics520,,256.0,ssd,,noir,1.5,"14""","2,399.00 Dhs",3.5 out of 5
Hp,32go,ddr4,intel,i5,8,intégrée:oui,,256.0,ssd,256.0,gris,1.48,"14""","3,399.00 Dhs",0 out of 5
Asus,8go,ddr4,,,,:nvidia®geforce®mx3302go,,512.0,ssd,,gris,1.8,"6""","5,690.00 Dhs",0 out of 5
Infinix,8go,,intel,i5,,,,512.0,ssd,,green,1,14pouce,"6,400.00 Dhs",5 out of 5
Hp,4go,ddr4,intel,i3,6,:intelhd520,,,,,argentnoir,1.95,,"1,699.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i7,6,,,512.0,ssd,,gris,1.5,,"4,220.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i7,6,:intelhdgraphics520,,512.0,ssd,,,1,,"3,400.00 Dhs",4.3 out of 5
Hp,16gb,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,1.5,,"2,799.00 Dhs",1 out of 5
Hp,16go,ddr4,intel,i5,6,,,256.0,ssd,,gris,1.28,,"2,490.00 Dhs",3.7 out of 5
Hp,4go,ddr4,intel,i3,6,:intelhd520,,,,,noir,1.95,,"1,650.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,6,.intelhdgraphics520,,256.0,ssd,,,1.54,,"2,490.00 Dhs",3.3 out of 5
Lenovo,8go,ddr3,intel,i5,4,:intel®hdgraphics,,,,,noir,1.6,,"1,999.00 Dhs",4.2 out of 5
Hp,8go,ddr4,intel,i7,6,,,256.0,ssd,,noiretargent,1.6,,"3,499.00 Dhs",4 out of 5
DELL,8go,ddr4,intel,i5,7,:intelhdgraphics620,,256.0,ssd,,noir,2,12pouce,"3,600.00 Dhs",0 out of 5
Hp,16go,,intel,i5,6,résolutionmaximum(displayport)delaintégrée:4096x2304pixels,,512.0,ssd,,argentetnoir,1.6,6cm,"3,095.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,6,,,512.0,ssd,,noiretargent,1.6,,"3,199.00 Dhs",3 out of 5
Lenovo,16go,,intel,i7,7,descriptiondela:intégrée,,256.0,ssd,,noir,1.6,14pouce,"3,899.00 Dhs",1 out of 5
DELL,8gb,ddr4,intel,i5,11,:intelirisxegraphics,,256.0,ssd,,argent,1.37,,"6,800.00 Dhs",0 out of 5
Lenovo,16go,,intel,,,descriptiondela:intégrée,,256.0,ssd,,noir,1.6,14pouce,"3,999.00 Dhs",5 out of 5
Hp,3,ddr3,intel,i5,4,,,,,500.0,noir,2,"14""","1,699.00 Dhs",3.3 out of 5
Hp,8gb,ddr3,intel,i5,5,,,128.0,ssd,,grisetnoir,2,,"3,999.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i3,4,,,,,1000.0,noiretargent,2,"14""","2,199.00 Dhs",0 out of 5
Lenovo,4,ddr4,intel,i5,4,:intelhdgraphics5500,,,hdd,320.0,noir,1.42,8cm,"1,763.00 Dhs",5 out of 5
Hp,32go,ddr4,intel,i5,8,intégrée:oui,,256.0,ssd,256.0,gris,1.6,"14""","3,299.00 Dhs",0 out of 5
Hp,8go,,intel,i5,5,résolutionmaximum(hdmi)deintégrée:4096x2304pixels,,,,,argentetnoir,1.6,6cm,"2,099.00 Dhs",4 out of 5
Hp,3,ddr3,intel,i3,4,,,,,250.0,noiretargent,2.5,"14""","1,695.00 Dhs",4.2 out of 5
Hp,3,ddr3,intel,i3,4,,,,,320.0,noir,2,"14""","1,699.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i3,6,:intelhd520,,,,,noir,2,,"1,797.00 Dhs",4 out of 5
Hp,4,ddr3,intel,i3,4,,,,,320.0,noir,,"14""","1,890.00 Dhs",4 out of 5
Lenovo,8go,,intel,,,descriptiondela:intégrée,,512.0,ssd,,noir,1.5,14pouce,"3,600.00 Dhs",0 out of 5
DELL,16go,,,i5,,,,,,256.0,noir,1.5,,"2,500.00 Dhs",0 out of 5
Asus,4gb,ddr4,intel,,4,intel®uhd600,,,,,noir,1,"6""","1,990.00 Dhs",5 out of 5
Hp,8go,ddr4,intel,i5,8,,,256.0,ssd,,argent,1,"3""","3,200.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6,:intelhd520,,,,,noir,1.95,,"1,699.99 Dhs",1 out of 5
Hp,8go,ddr4,intel,i5,6,:intel®hdgraphics520,,256.0,ssd,,,1.48,"14""","2,599.00 Dhs",3 out of 5
,,,,,,,,,,,,,,,
Lenovo,16go,ddr3,intel,i5,5,,,,ssd,,noir,2,"14""","2,360.00 Dhs",4 out of 5
Table,,,,,,,,,,,noir,1,17pouce,239.00 Dhs,3.7 out of 5
Hp,4go,ddr3,,,,,,,,,noir,2,"14""","1,750.00 Dhs",0 out of 5
