MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
DELL,4go,ddr3,intel,i3,4.0, : intel hd graphics family,,,,,noir,2.42,6pouce,"1,599.00 Dhs",0 out of 5
Lenovo,8go,,,,,,,,ssd,,noir,1.5,,"4,200.00 Dhs",0 out of 5
Asus,4go,ddr4,intel,,4.0,carte graphique : intel® uhd graphics 600,,,,128.0,peacockblue,1.5,"6""","2,550.00 Dhs",4 out of 5
Hp,16go,ddr4,intel,i5,6.0,,,,hdd,,gris,1.28,,"2,499.00 Dhs",4.8 out of 5
Asus,4gb,,intel,,5.0,,,,,128.0,noir,1.3,"14""","2,460.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i7,6.0,,,512.0,ssd,,,2,,"3,500.00 Dhs",4 out of 5
Asus,4gb,,intel,,5.0,,,,ssd,,noir,1.3,"14""","3,000.00 Dhs",0 out of 5
DELL,4go,ddr3,intel,i3,4.0, : intel hd graphics family,,,,,noir,2.42,15pouce,"1,550.00 Dhs",0 out of 5
DELL,8go,,intel,i5,5.0,"sorties de la carte graphique prises en charge	:  displayport, embedded displayport (edp), hdmi",,,,500.0,noir,1.81,6cm,"2,099.00 Dhs",5 out of 5
Asus,,,,,,carte graphique : (modèle et capacité varient en fonction de la configuration),,,ssd,,noir,1.3,,"2,889.00 Dhs",0 out of 5
Lenovo,8go,ddr4,intel,i5,11.0,,,256.0,ssd,,gris,1,,"5,450.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6.0, : intel uhd graphics 520,,256.0,ssd,8.0,grisnoir,1,14pouce,"2,999.00 Dhs",0 out of 5
Lenovo,4go,ddr4,intel,i5,4.0,carte graphique : intel hd graphics 5500,,,ssd,128.0,noir,1.42,8cm,"1,899.00 Dhs",4.5 out of 5
Asus,4gb,ddr4,intel,,4.0,carte graphique: intel® uhd graphics 600,,,,,rose,1.3,"0""","4,172.00 Dhs",0 out of 5
Asus,4gb,,intel,,5.0,,,,,128.0,noir,1.3,"14""","4,172.00 Dhs",0 out of 5
Hp,16gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,1.5,,"2,999.00 Dhs",4 out of 5
Lenovo,8go,,,,,description de la carte graphique    :     intégrée,,512.0,ssd,,noir,1.5,14pouce,"3,500.00 Dhs",0 out of 5
Lenovo,8go,ddr4,intel,i5,4.0,carte graphique : intel hd graphics 5500,,,ssd,128.0,noir,1.42,8cm,"1,999.00 Dhs",3.5 out of 5
Hp,8go,ddr4,intel,i5,8.0,carte graphique intégrée  : oui,,256.0,ssd,256.0,gris,1.48,"14""","3,399.00 Dhs",0 out of 5
Lenovo,8go,,,,,description de la carte graphique    :     intégrée,,512.0,ssd,,noir,1.5,14pouce,"3,600.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,8.0, : intel uhd graphics 620,,256.0,ssd,,gris,2,"14""","3,299.00 Dhs",2 out of 5
Lenovo,8go,ddr3,intel,i5,4.0,carte graphique : intel® hd graphics,,,,,noir,1.8,,"1,999.00 Dhs",4.2 out of 5
Hp,8go,,intel,,5.0,"sorties de la carte graphique prises en charge : 	display port, embedded display port (edp), hdmi",,256.0,ssd,,noir,0.5,,"2,699.00 Dhs",5 out of 5
Hp,16gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,1.5,,"2,899.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,7.0,: intel hd graphics 620,,256.0,ssd,,argentetnoir,1.28,"3""","3,812.00 Dhs",0 out of 5
